BC_tmp = 0, tw_diff = 0, factor_diff_1t  = 1
BC_tmp = 1, tw_diff = 1, factor_diff_1t  = 4043556811946972802
BC_tmp = 3, tw_diff = 2, factor_diff_1t  = 9071165522957276205
BC_tmp = 2, tw_diff = -1, factor_diff_1t  = 14570053890742115847
BC_tmp = 6, tw_diff = 4, factor_diff_1t  = 14006830186316163511
BC_tmp = 7, tw_diff = 1, factor_diff_1t  = 4043556811946972802
BC_tmp = 5, tw_diff = -2, factor_diff_1t  = 459643346215618215
BC_tmp = 4, tw_diff = -1, factor_diff_1t  = 14570053890742115847
BC_tmp = 12, tw_diff = 8, factor_diff_1t  = 15052656207385017564
BC_tmp = 13, tw_diff = 1, factor_diff_1t  = 4043556811946972802
BC_tmp = 15, tw_diff = 2, factor_diff_1t  = 9071165522957276205
BC_tmp = 14, tw_diff = -1, factor_diff_1t  = 14570053890742115847
BC_tmp = 10, tw_diff = -4, factor_diff_1t  = 17016677926152768545
BC_tmp = 11, tw_diff = 1, factor_diff_1t  = 4043556811946972802
BC_tmp = 9, tw_diff = -2, factor_diff_1t  = 459643346215618215
BC_tmp = 8, tw_diff = -1, factor_diff_1t  = 14570053890742115847
BC_tmp = 24, tw_diff = 16, factor_diff_1t  = 1913039459307282826
BC_tmp = 25, tw_diff = 1, factor_diff_1t  = 4043556811946972802
BC_tmp = 27, tw_diff = 2, factor_diff_1t  = 9071165522957276205
BC_tmp = 26, tw_diff = -1, factor_diff_1t  = 14570053890742115847
BC_tmp = 30, tw_diff = 4, factor_diff_1t  = 14006830186316163511
BC_tmp = 31, tw_diff = 1, factor_diff_1t  = 4043556811946972802
BC_tmp = 29, tw_diff = -2, factor_diff_1t  = 459643346215618215
BC_tmp = 28, tw_diff = -1, factor_diff_1t  = 14570053890742115847
BC_tmp = 20, tw_diff = -8, factor_diff_1t  = 2973809094719731252
BC_tmp = 21, tw_diff = 1, factor_diff_1t  = 4043556811946972802
BC_tmp = 23, tw_diff = 2, factor_diff_1t  = 9071165522957276205
BC_tmp = 22, tw_diff = -1, factor_diff_1t  = 14570053890742115847
BC_tmp = 18, tw_diff = -4, factor_diff_1t  = 17016677926152768545
BC_tmp = 19, tw_diff = 1, factor_diff_1t  = 4043556811946972802
BC_tmp = 17, tw_diff = -2, factor_diff_1t  = 459643346215618215
BC_tmp = 16, tw_diff = -1, factor_diff_1t  = 14570053890742115847
BC_tmp = 48, tw_diff = 32, factor_diff_1t  = 12573252732142656207
BC_tmp = 49, tw_diff = 1, factor_diff_1t  = 4043556811946972802
BC_tmp = 51, tw_diff = 2, factor_diff_1t  = 9071165522957276205
BC_tmp = 50, tw_diff = -1, factor_diff_1t  = 14570053890742115847
BC_tmp = 54, tw_diff = 4, factor_diff_1t  = 14006830186316163511
BC_tmp = 55, tw_diff = 1, factor_diff_1t  = 4043556811946972802
BC_tmp = 53, tw_diff = -2, factor_diff_1t  = 459643346215618215
BC_tmp = 52, tw_diff = -1, factor_diff_1t  = 14570053890742115847
BC_tmp = 60, tw_diff = 8, factor_diff_1t  = 15052656207385017564
BC_tmp = 61, tw_diff = 1, factor_diff_1t  = 4043556811946972802
BC_tmp = 63, tw_diff = 2, factor_diff_1t  = 9071165522957276205
BC_tmp = 62, tw_diff = -1, factor_diff_1t  = 14570053890742115847
BC_tmp = 58, tw_diff = -4, factor_diff_1t  = 17016677926152768545
BC_tmp = 59, tw_diff = 1, factor_diff_1t  = 4043556811946972802
BC_tmp = 57, tw_diff = -2, factor_diff_1t  = 459643346215618215
BC_tmp = 56, tw_diff = -1, factor_diff_1t  = 14570053890742115847
BC_tmp = 40, tw_diff = -16, factor_diff_1t  = 6889485207579503204
BC_tmp = 41, tw_diff = 1, factor_diff_1t  = 4043556811946972802
BC_tmp = 43, tw_diff = 2, factor_diff_1t  = 9071165522957276205
BC_tmp = 42, tw_diff = -1, factor_diff_1t  = 14570053890742115847
BC_tmp = 46, tw_diff = 4, factor_diff_1t  = 14006830186316163511
BC_tmp = 47, tw_diff = 1, factor_diff_1t  = 4043556811946972802
BC_tmp = 45, tw_diff = -2, factor_diff_1t  = 459643346215618215
BC_tmp = 44, tw_diff = -1, factor_diff_1t  = 14570053890742115847
BC_tmp = 36, tw_diff = -8, factor_diff_1t  = 2973809094719731252
BC_tmp = 37, tw_diff = 1, factor_diff_1t  = 4043556811946972802
BC_tmp = 39, tw_diff = 2, factor_diff_1t  = 9071165522957276205
BC_tmp = 38, tw_diff = -1, factor_diff_1t  = 14570053890742115847
BC_tmp = 34, tw_diff = -4, factor_diff_1t  = 17016677926152768545
BC_tmp = 35, tw_diff = 1, factor_diff_1t  = 4043556811946972802
BC_tmp = 33, tw_diff = -2, factor_diff_1t  = 459643346215618215
BC_tmp = 32, tw_diff = -1, factor_diff_1t  = 14570053890742115847
