BC_tmp = 0, 9*tw_diff = 0, factor_diff_9t  = 1
BC_tmp = 1, 9*tw_diff = 9, factor_diff_9t  = 5350167283985131626
BC_tmp = 3, 9*tw_diff = 18, factor_diff_9t  = 15583913849859751243
BC_tmp = 2, 9*tw_diff = -9, factor_diff_9t  = 3634574816773780305
BC_tmp = 6, 9*tw_diff = 36, factor_diff_9t  = 13537781928143541450
BC_tmp = 7, 9*tw_diff = 9, factor_diff_9t  = 5350167283985131626
BC_tmp = 5, 9*tw_diff = -18, factor_diff_9t  = 16843210144819986575
BC_tmp = 4, 9*tw_diff = -9, factor_diff_9t  = 3634574816773780305
BC_tmp = 12, 9*tw_diff = 72, factor_diff_9t  = 11577486448795369550
BC_tmp = 13, 9*tw_diff = 9, factor_diff_9t  = 5350167283985131626
BC_tmp = 15, 9*tw_diff = 18, factor_diff_9t  = 15583913849859751243
BC_tmp = 14, 9*tw_diff = -9, factor_diff_9t  = 3634574816773780305
BC_tmp = 10, 9*tw_diff = -36, factor_diff_9t  = 8463771714235575839
BC_tmp = 11, 9*tw_diff = 9, factor_diff_9t  = 5350167283985131626
BC_tmp = 9, 9*tw_diff = -18, factor_diff_9t  = 16843210144819986575
BC_tmp = 8, 9*tw_diff = -9, factor_diff_9t  = 3634574816773780305
BC_tmp = 24, 9*tw_diff = 144, factor_diff_9t  = 8900146263973118671
BC_tmp = 25, 9*tw_diff = 9, factor_diff_9t  = 5350167283985131626
BC_tmp = 27, 9*tw_diff = 18, factor_diff_9t  = 15583913849859751243
BC_tmp = 26, 9*tw_diff = -9, factor_diff_9t  = 3634574816773780305
BC_tmp = 30, 9*tw_diff = 36, factor_diff_9t  = 13537781928143541450
BC_tmp = 31, 9*tw_diff = 9, factor_diff_9t  = 5350167283985131626
BC_tmp = 29, 9*tw_diff = -18, factor_diff_9t  = 16843210144819986575
BC_tmp = 28, 9*tw_diff = -9, factor_diff_9t  = 3634574816773780305
BC_tmp = 20, 9*tw_diff = -72, factor_diff_9t  = 17011230650582925021
BC_tmp = 21, 9*tw_diff = 9, factor_diff_9t  = 5350167283985131626
BC_tmp = 23, 9*tw_diff = 18, factor_diff_9t  = 15583913849859751243
BC_tmp = 22, 9*tw_diff = -9, factor_diff_9t  = 3634574816773780305
BC_tmp = 18, 9*tw_diff = -36, factor_diff_9t  = 8463771714235575839
BC_tmp = 19, 9*tw_diff = 9, factor_diff_9t  = 5350167283985131626
BC_tmp = 17, 9*tw_diff = -18, factor_diff_9t  = 16843210144819986575
BC_tmp = 16, 9*tw_diff = -9, factor_diff_9t  = 3634574816773780305
BC_tmp = 48, 9*tw_diff = 288, factor_diff_9t  = 15245928743009060991
BC_tmp = 49, 9*tw_diff = 9, factor_diff_9t  = 5350167283985131626
BC_tmp = 51, 9*tw_diff = 18, factor_diff_9t  = 15583913849859751243
BC_tmp = 50, 9*tw_diff = -9, factor_diff_9t  = 3634574816773780305
BC_tmp = 54, 9*tw_diff = 36, factor_diff_9t  = 13537781928143541450
BC_tmp = 55, 9*tw_diff = 9, factor_diff_9t  = 5350167283985131626
BC_tmp = 53, 9*tw_diff = -18, factor_diff_9t  = 16843210144819986575
BC_tmp = 52, 9*tw_diff = -9, factor_diff_9t  = 3634574816773780305
BC_tmp = 60, 9*tw_diff = 72, factor_diff_9t  = 11577486448795369550
BC_tmp = 61, 9*tw_diff = 9, factor_diff_9t  = 5350167283985131626
BC_tmp = 63, 9*tw_diff = 18, factor_diff_9t  = 15583913849859751243
BC_tmp = 62, 9*tw_diff = -9, factor_diff_9t  = 3634574816773780305
BC_tmp = 58, 9*tw_diff = -36, factor_diff_9t  = 8463771714235575839
BC_tmp = 59, 9*tw_diff = 9, factor_diff_9t  = 5350167283985131626
BC_tmp = 57, 9*tw_diff = -18, factor_diff_9t  = 16843210144819986575
BC_tmp = 56, 9*tw_diff = -9, factor_diff_9t  = 3634574816773780305
BC_tmp = 40, 9*tw_diff = -144, factor_diff_9t  = 11102195893002206701
BC_tmp = 41, 9*tw_diff = 9, factor_diff_9t  = 5350167283985131626
BC_tmp = 43, 9*tw_diff = 18, factor_diff_9t  = 15583913849859751243
BC_tmp = 42, 9*tw_diff = -9, factor_diff_9t  = 3634574816773780305
BC_tmp = 46, 9*tw_diff = 36, factor_diff_9t  = 13537781928143541450
BC_tmp = 47, 9*tw_diff = 9, factor_diff_9t  = 5350167283985131626
BC_tmp = 45, 9*tw_diff = -18, factor_diff_9t  = 16843210144819986575
BC_tmp = 44, 9*tw_diff = -9, factor_diff_9t  = 3634574816773780305
BC_tmp = 36, 9*tw_diff = -72, factor_diff_9t  = 17011230650582925021
BC_tmp = 37, 9*tw_diff = 9, factor_diff_9t  = 5350167283985131626
BC_tmp = 39, 9*tw_diff = 18, factor_diff_9t  = 15583913849859751243
BC_tmp = 38, 9*tw_diff = -9, factor_diff_9t  = 3634574816773780305
BC_tmp = 34, 9*tw_diff = -36, factor_diff_9t  = 8463771714235575839
BC_tmp = 35, 9*tw_diff = 9, factor_diff_9t  = 5350167283985131626
BC_tmp = 33, 9*tw_diff = -18, factor_diff_9t  = 16843210144819986575
BC_tmp = 32, 9*tw_diff = -9, factor_diff_9t  = 3634574816773780305
